ID,1.10 Do you find Rust's lifetime rules confusing when programming in Rust?,1.11 Do you find Rust's ownership rules confusing when programming in Rust?,"1.12 Do you understand the error messages provided by the Rust compiler, when your code violates lifetime rules?","1.13 Do you understand the error messages provided by the Rust compiler, when your code violates ownership rules?","1.14 Besides lifetime and ownership, please write down other language features of Rust that confuse you when you program with Rust.",PA Answer,PB Answer,Which PC?,PC.Q1 (a. Please mark the statement or the program tokens that cause the Rust compiler to reject the program.),PC.Q1 rating,"PC.Q2 (b. Please rate how easy or how difficult it is to figure out the error of the above program on a scale from 1 to 10. ``1'' means ``very easy'', and ``10'' means ``very difficult''.)",PC.Q3 (c. Which Rust safety rule is violated in the above program? ``[X]'' indicates a variable/type name in the program. Only one of the following options is correct.),PC.Q3 rating,"PC.Q4 (d. Given the above error messages, please rate how easy or how difficult it is to figure out the error of the above program on a scale from 1 to 10.)",PC.Q5 (e. Please rate the helpfulness of the above error messages to your understanding of the error on a scale from 1 to 10.),"PC.Q6 (f. In your own words, please explain the above compiler error.)",PC.Q6 rating,Which PD?,PD.Q1 (a. Please mark the statement or the program tokens that cause the Rust compiler to reject the program.),PD.Q1 rating,"PD.Q2 (b. Please rate how easy or how difficult it is to figure out the error of the above program on a scale from 1 to 10. ``1'' means ``very easy'', and ``10'' means ``very difficult''.)",PD.Q3 (c. Which Rust safety rule is violated in the above program? ``[X]'' indicates a variable/type name in the program. Only one of the following options is correct.),PD.Q3 rating,"PD.Q4 (d. Given the above error messages, please rate how easy or how difficult it is to figure out the error of the above program on a scale from 1 to 10.)",PD.Q5 (e. Please rate the helpfulness of the above error messages to your understanding of the error on a scale from 1 to 10.),"PD.Q6 (f. In your own words, please explain the above compiler error.)",PD.Q6 rating
1,Sometimes,Sometimes,Most of the time,Sometimes,nothing else really confuses me much with the language. It's very well put together,No,Yes,C1,"128: out1.a[1],136: out2.a.1",0.5,7,cannot borrow [X] as immutable because it is also borrowed as mutable,1,1,10,You can't borrow the same structure more than once using different types of mutability. This violates the safety rules because you can have a mutable pointer and a immutable pointer to the same data type. Rust is highlighting this code because you are already doing a mutable borrow of the datastructure attribute in the first argument so you can reference that same structure in the next argument as non mutable,5.8,D3,"95: &'a,96: Foo,108: bar.x",0,6,cannot move out of [X] which is behind a mutable reference,0,2,4,You can't borrow a mutable reference to the same location of memory twice because it may have changed location after the first reference is taken.,4.2
2,Most of the time,Sometimes,Sometimes,Most of the time,Asyncronous rust features~$br$~,No,Yes,C2,119: mut,0,5,cannot borrow [X] as immutable because it is also borrowed as mutable,0,4,4,-> 'test's first parameter takes an instance of 'Inner'~$br$~-> second parameter takes a mutable reference~$br$~-> field a from out1 seems to be moved as a whole and not its value at index 1~$br$~-> if first parameter's instance is identical with the second one -> borrow checker error occurs because test can't take a mutable ref to a moved value~$br$~~$br$~,4.2,D1_e,118: let,0,5,the trait `Copy` may not be implemented for this type,0,7,8,Method f1 takes a mutable reference of self for lifetime 'b (until bar2 gets out of scope). As f1 gets called a second time it violates Rust's single mutable reference rule because the first mutable reference is garanteed to live as long as Bar2's lifetime.,10
3,Most of the time,Sometimes,Sometimes,Most of the time,Readability compared to Python.~$br$~Implementing Rust to embedded specially controllers which not supported by LLVM.,No,Yes,C1_e,"127: &,128: out1.a[1]",1,6,Prefer not to answer,0,7,8,Little confused need more time to review,0,D3,"134: &mut,135: bar2);",1,7,cannot borrow [X] as mutable more than once at a time,1,3,8,Mutable borrow can't done more than one time.,5.8
4,Never,Never,Most of the time,Always,sync within async and async within sync or the mix of it since you can't spawn an executor within an executor,No,Yes,C2,"24: a:,25: [Inner;,26: 2],117: out1.a[1],,120: out1.a[0].in_a",0.25,6,cannot borrow [X] as immutable because it is also borrowed as mutable,0,2,9,The trait does not implement Copy and it is using the inner value from an array which requires moving the value out of the array.,7.6,D1_e,"37: mut,116: bar2.f1();,121: bar2.f1();",1,8,cannot borrow [X] as mutable more than once at a time,1,3,7,"bar2 was borrowed mutably twice which violates the ownership rule, not quite sure about the lifetime part but it is used to show the lifetime of borrowed bar2.",7.6
5,Most of the time,Sometimes,Most of the time,Most of the time,async rust,No,Yes,C2,119: mut,0,3,cannot borrow [X] as immutable because it is also borrowed as mutable,0,7,3,I thought another mistake but this is too difficult for me,0,D3,134: &mut,1,7,Prefer not to answer,0,7,3,I know it is connected to lifetime but can not explain it :(,3
6,Never,Never,Always,Most of the time,None,No,Yes,C1,99: Outer2,0,10,cannot return value referencing local variable [X],0,10,10,The error is difficult to identify since I am not a pro.  I believe maybe java  could get the work done with less complications,0,D1_e,106: bar2.f2(,0,10,cannot use [X] because it was mutably borrowed,0,10,10,"I was not able to identify the error, It is a difficult one because you cannot borrow `bar2` as mutable more than once at a time.",5.8
7,Sometimes,Sometimes,Most of the time,Most of the time,macro~$br$~unsfae,No,Yes,C3,"105: &out1.a[1];,110: &out2.a.1;",0.5,3,cannot borrow [X] as immutable because it is also borrowed as mutable,1,1,10,"Something has been mutably borrowed, and later an immutable borrow of it occurs, then the mutable borrow is used again. This means the mutable borrow needs to live after the immutable borrow. This violates rust's safety rules.~$br$~~$br$~The compiler is helpfully highlighting all the precise points that are relevant to the error.",5.8,D2,"35: f1(,53: f2,120: bar2.f1();",0.5,8,the parameter type [X] may not live long enough,0,1,10,"calling f1() takes self, which essentially consumes bar2~$br$~so bar2 itself becomes invalid and can't be used any more.~$br$~~$br$~The compiler is explaining that bar2 has already been consumed and thus cannot be used again. And since the type isn't copy, it can't be trivially duplicated.",10
8,Never,Never,Most of the time,Always,can't think of any at the moment,No,Yes,C3,"94: out1.a[0].in_a;,105: &out1.a[1];,112: *r1,123: r2);",1,2,cannot borrow [X] as immutable because it is also borrowed as mutable,1,1,1,"when out1.a[<int>] is borrowed as either immutable or mutable, the rust language borrows all of out1.a since partial borrowing doesn't work with arrays. Therefore, the compiler complains that out1.a is borrowed both immutably and mutably since we created a mutable borrow on line 24 that is still a live variable due to the later use on line 28 when we try to borrow immutably on line 26.",10,D1_e,"93: bar2,116: bar2.f1();,121: bar2.f1();",0.6666666667,4,cannot use [X] because it was mutably borrowed,0,6,6,"since we marked self with lifetime 'b in the definition of f1 (this should probably be changed), this forces the lifetime of 'b to be the same as bar2's lifetime, making bar2 only be able to be mutably borrowed once with bar2's lifetime. we tried to mutably borrow bar2 twice, causing the error.",10
9,Sometimes,Sometimes,Most of the time,Most of the time,"When I program with Rust, I'd like to be able to write less verbosely. One of the things I feel is that writing Rust Code can sometimes get maddeningly long, which forces different formatting. I think, however, this is the syntax of the language, and since this isn't a scripting language, it's something I'm willing to live with.",Yes,No,C3,"103: r2,108: r4",0.5,8,cannot borrow [X] as immutable because it is also borrowed as mutable,1,2,7,"In Rust, we can't have a mutable reference and an immutable reference to the same object. So, in this code, we can't compile because there are both. to fix this, we should pick which type of reference we want.",5.8,D2,"118: z,119: =,120: bar2.f1();",1,7,lifetime of reference outlives lifetime of borrowed content,0,2,9,"Since Bar2 doesn't implement Copy at assignments, the value is moved to bar2. This means that the first call to f1 takes ownership of the value, which makes it impossible to run the second call. If Bar2 implemented the Copy trait, then this problem wouldn't happen, since it makes sense that the extensive copies can be acted on differently.",10
10,Most of the time,Never,Sometimes,Always,Lack of specification of what can be done in unsafe code safely,No,Yes,C3,105: &out1.a[1];,1,4,cannot borrow [X] as immutable because it is also borrowed as mutable,1,3,10,"The array 'a' of 'out2' has been borrowed mutably in line 24 and used in line 28, and so its lifetime is within this duration. When it is borrowed mutably (exclusive access), an attempt to borrow 'a' of 'out2' immutably happens at line 26, violating exclusive access given to 'r1'.",7.6,D2,120: bar2.f1();,1,2,use of moved value: [X],1,1,10,"Data structure 'Bar2' is not Copy. Ownership of instance 'bar2' is moved into its method 'f1' during the first call (instead of copied) into 'self' and subsequently dropped when 'f1' exits. The second attempt to use 'f1' fails because 'bar2' no longer have ownership of the original object, and cannot be moved into 'self'.",10
